Saison	Kalenderwoche	Bundesland	Bundesland_ID	Altersgruppe	ARE_Konsultationsinzidenz
2013/14	2014-W08	Bundesweit	0	5-14	2081
2013/14	2014-W08	Bundesweit	0	15-34	1425
2013/14	2014-W08	Bundesweit	0	60+	524
2013/14	2014-W08	Bundesweit	0	35-59	1133
2013/14	2014-W09	Bundesweit	0	00+	1213
2013/14	2014-W09	Bundesweit	0	0-4	5453
2013/14	2014-W09	Bundesweit	0	5-14	1844
2013/14	2014-W09	Bundesweit	0	15-34	1312
2013/14	2014-W09	Bundesweit	0	60+	487
2013/14	2014-W09	Bundesweit	0	35-59	1048
2013/14	2014-W10	Bundesweit	0	00+	1179
2013/14	2014-W10	Bundesweit	0	0-4	4984
2013/14	2014-W10	Bundesweit	0	5-14	1727
2013/14	2014-W10	Bundesweit	0	15-34	1340
2013/14	2014-W10	Bundesweit	0	60+	431
2013/14	2014-W10	Bundesweit	0	35-59	1061
2013/14	2014-W11	Bundesweit	0	00+	1228
2013/14	2014-W11	Bundesweit	0	0-4	5194
2013/14	2014-W11	Bundesweit	0	5-14	1713
2013/14	2014-W11	Bundesweit	0	15-34	1389
2013/14	2014-W11	Bundesweit	0	60+	527
2013/14	2014-W11	Bundesweit	0	35-59	1071
2013/14	2014-W12	Bundesweit	0	00+	1141
2013/14	2014-W12	Bundesweit	0	0-4	4848
2013/14	2014-W12	Bundesweit	0	5-14	1630
2013/14	2014-W12	Bundesweit	0	15-34	1300
2013/14	2014-W12	Bundesweit	0	60+	480
2013/14	2014-W12	Bundesweit	0	35-59	984
2013/14	2014-W13	Bundesweit	0	00+	1083
2013/14	2014-W13	Bundesweit	0	0-4	4585
2013/14	2014-W13	Bundesweit	0	5-14	1636
2013/14	2014-W13	Bundesweit	0	15-34	1202
2013/14	2014-W13	Bundesweit	0	60+	442
2013/14	2014-W13	Bundesweit	0	35-59	945
2013/14	2014-W14	Bundesweit	0	00+	1126
2013/14	2014-W14	Bundesweit	0	0-4	4732
2013/14	2014-W14	Bundesweit	0	5-14	1718
2013/14	2014-W14	Bundesweit	0	15-34	1250
2013/14	2014-W14	Bundesweit	0	60+	495
2013/14	2014-W14	Bundesweit	0	35-59	957
2013/14	2014-W15	Bundesweit	0	00+	948
2013/14	2014-W15	Bundesweit	0	0-4	3963
2013/14	2014-W15	Bundesweit	0	5-14	1449
2013/14	2014-W15	Bundesweit	0	15-34	1024
2013/14	2014-W15	Bundesweit	0	60+	419
2013/14	2014-W15	Bundesweit	0	35-59	824
2013/14	2014-W16	Bundesweit	0	00+	713
2013/14	2014-W16	Bundesweit	0	0-4	3144
2013/14	2014-W16	Bundesweit	0	5-14	1029
2013/14	2014-W16	Bundesweit	0	15-34	764
2013/14	2014-W16	Bundesweit	0	60+	315
2013/14	2014-W16	Bundesweit	0	35-59	620
2013/14	2014-W17	Bundesweit	0	00+	636
2013/14	2014-W17	Bundesweit	0	0-4	2945
2013/14	2014-W17	Bundesweit	0	5-14	705
2013/14	2014-W17	Bundesweit	0	15-34	720
2013/14	2014-W17	Bundesweit	0	60+	316
2013/14	2014-W17	Bundesweit	0	35-59	537
2013/14	2014-W18	Bundesweit	0	00+	535
2013/14	2014-W18	Bundesweit	0	0-4	2343
2013/14	2014-W18	Bundesweit	0	5-14	640
